Method,Best k,Mean Accuracy,Max Accuracy,Min Accuracy
Traditional KNN,1,0.6714529914529914,0.7235897435897436,0.6210256410256411
Proposed Model,3,0.6688461538461539,0.792948717948718,0.6032905982905983
Generalized Weighted KNN,6,0.6726495726495727,0.7350427350427351,0.6153846153846154
OF KNN,1,0.6974358974358974,0.7521367521367521,0.6666666666666666
Overlap KNN,1,0.5384615384615385,0.7521367521367521,0.26495726495726496
Eskin KNN,11,0.6914529914529914,0.7606837606837606,0.6410256410256411
