Dataset,Traditional KNN,Proposed Model,Generalized Weighted KNN,OF KNN,Overlap KNN,Eskin KNN
hv84,4,1,5,2,6,2
servo,6,4,5,2,3,1
pima,2,3,1,4,6,5
liver,3,4,5,1,6,2
ionosphere,2,3,1,6,5,4
steel,3,1,2,5,6,4
insurance,6,5,4,1,2,3
Mean,3.7142857142857144,3.0,3.2857142857142856,3.0,4.857142857142857,3.0
