Dataset,Traditional KNN,Proposed Model,Generalized Weighted KNN,OF KNN,Overlap KNN,Eskin KNN
hv84,5,1,3,2,6,3
servo,6,1,5,4,3,2
pima,2,3,1,5,4,6
liver,5,1,6,2,2,4
ionosphere,3,1,2,5,5,4
steel,5,1,3,2,6,3
insurance,6,1,5,4,3,2
Mean,4.571428571428571,1.2857142857142858,3.5714285714285716,3.4285714285714284,4.142857142857143,3.4285714285714284
