Dataset,Traditional KNN,Proposed Model,Generalized Weighted KNN,OF KNN,Overlap KNN,Eskin KNN
hv84,5,1,3,3,6,3
servo,3,2,1,6,5,4
pima,2,3,1,4,6,4
liver,2,4,5,1,6,3
ionosphere,2,1,3,6,5,4
steel,3,2,1,4,6,4
insurance,6,5,4,2,1,3
Mean,3.2857142857142856,2.5714285714285716,2.5714285714285716,3.7142857142857144,5.0,3.5714285714285716
