method,mean,max,min
Proposed_Model,0.7686674436674437,0.792948717948718,0.7187606837606838
Overlap_KNN,0.752136752136752,0.7521367521367521,0.7521367521367521
OF_KNN,0.7505827505827505,0.7521367521367521,0.7435897435897436
Eskin_KNN,0.7311577311577312,0.7606837606837606,0.7008547008547008
Traditional_KNN,0.708049728049728,0.7235897435897436,0.6808547008547008
Generalized_Weighted_KNN,0.7117327117327117,0.7350427350427351,0.6923076923076923
