method,mean,max,min
Proposed_Model,0.9935057471264366,0.9935057471264368,0.9935057471264368
Overlap_KNN,0.6436781609195402,0.6436781609195402,0.6436781609195402
OF_KNN,0.981191222570533,0.9885057471264368,0.9540229885057472
Eskin_KNN,0.974921630094044,0.9770114942528736,0.9655172413793104
Traditional_KNN,0.9611912225705331,0.9685057471264368,0.934022988505747
Generalized_Weighted_KNN,0.9738766980146292,0.9885057471264368,0.9540229885057472
