method,mean,max,min
Proposed_Model,0.9403028277202498,0.9732500275504552,0.9123964227849628
Overlap_KNN,0.8319389337085942,0.9075793962739896,0.7374634356534269
OF_KNN,0.8280818813462953,0.9018194183316208,0.701811487321955
Eskin_KNN,0.865791823426779,0.9246177391485052,0.7970853956892029
Traditional_KNN,0.6722867556663246,0.8165079968556098,0.5461191387016444
Generalized_Weighted_KNN,0.6489188866946182,0.8099286702325411,-0.0185994596670768
