method,mean,max,min
Proposed_Model,0.9320166453265045,0.948661971830986,0.9204929577464788
Overlap_KNN,0.704225352112676,0.704225352112676,0.704225352112676
OF_KNN,0.7106274007682458,0.7605633802816901,0.704225352112676
Eskin_KNN,0.8450704225352113,0.9014084507042254,0.7183098591549296
Traditional_KNN,0.9044558258642765,0.9377464788732394,0.8954929577464789
Generalized_Weighted_KNN,0.9154929577464785,0.943661971830986,0.8591549295774648
