Dataset,Traditional KNN,Proposed Model,Generalized Weighted KNN,OF KNN,Overlap KNN,Eskin KNN
hv84,4,1,5,2,6,2
servo,6,1,5,2,4,3
pima,2,3,1,6,4,5
liver,5,3,6,1,1,4
ionosphere,3,2,1,5,6,4
steel,5,2,1,3,6,3
insurance,6,1,5,4,2,3
Mean,4.428571428571429,1.8571428571428572,3.4285714285714284,3.2857142857142856,4.142857142857143,3.4285714285714284
