Dataset,Traditional KNN,Proposed Model,Generalized Weighted KNN,OF KNN,Overlap KNN,Eskin KNN
hv84,5,1,3,3,6,3
servo,6,1,5,3,4,2
pima,3,2,1,6,5,4
liver,5,1,6,2,2,4
ionosphere,3,1,2,5,5,4
steel,5,1,2,2,6,4
insurance,6,1,5,4,3,2
Mean,4.714285714285714,1.1428571428571428,3.4285714285714284,3.5714285714285716,4.428571428571429,3.2857142857142856
